candidate_level,candidate_score,股票代號,股票名稱,市場,收盤價,MA20,是否站上 MA20,K 值,D 值,RSI,Volume_MA5,Volume_MA20,Volume_MA40,放量倍數,MACD_DIF,MACD_Signal,MACD_Histogram,MACD_Histogram_前1日,MACD_Histogram_前2日,MACD_綠柱趨緩接近翻紅,是否符合 KD 區間,是否符合 RSI 區間,是否明顯放量,MACD 是否綠柱趨緩接近翻紅,法人近 5 日是否合計買超,投信近 5 日是否買超,外資近 1 日買賣超張數,投信近 1 日買賣超張數,自營商近 1 日買賣超張數,三大法人近 1 日合計買賣超張數,外資近 5 日買賣超張數,投信近 5 日買賣超張數,自營商近 5 日買賣超張數,三大法人近 5 日合計買賣超張數,外資近 20 日買賣超張數,投信近 20 日買賣超張數,自營商近 20 日買賣超張數,三大法人近 20 日合計買賣超張數,最後更新日期
接近,30,3094,聯傑,上市,40.900001525878906,39.80750007629395,True,27.902202521382595,46.111824781301934,54.31015637606113,8495186.4,5423149.45,3838058.4,1.5664673227841803,1.412055082273774,1.3860840271407777,0.025971055132996357,0.17999686164558848,0.28879878795875435,否,否,否,是,否,否,否,-131.838,0.0,6.85,-124.988,-620.787,0.0,9.055,-611.7320000000001,3757.6709999999994,0.0,10.164000000000003,3767.835,2026-09-11
接近,30,6909,創控,上市,43.900001525878906,40.53000011444092,True,49.17583085476028,37.43718261587337,62.4349138763303,291012.8,197257.75,254963.55,1.475292098789528,-0.3053480303286946,-0.6739747506395084,0.3686267203108138,0.1288802187705711,0.14892212605301025,否,是,否,否,否,是,否,196.0,0.0,6.04,202.04,248.652,0.0,6.04,254.692,494.74699999999996,0.0,7.04,501.78700000000003,2026-09-11
接近,30,6907,雅特力-KY,上櫃,180.0,187.4,False,45.29679883397013,54.03717972109253,46.81502872042269,3582551.0,2440975.3,2005710.025,1.467671958827277,1.8224702986555599,1.908245543983491,-0.08577524532793124,0.9111256102200691,1.3791823517304858,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,30,2427,三商電,上市,22.399999618530273,22.30000009536743,True,45.74748498733932,36.10993708099254,51.1404928519666,470913.0,326932.75,471755.175,1.4403971458962126,-0.10991935115751872,-0.1608483823432124,0.05092903118569367,0.0415812395577104,0.015532511531530069,否,是,否,否,否,是,否,199.532,0.0,0.0,199.532,166.144,0.0,-1.0,165.144,643.738,0.0,-1.0,642.738,2026-09-11
接近,30,2102,泰豐,上市,17.950000762939453,18.39749994277954,False,24.485532731479218,19.24098125925451,36.15894679783964,316609.2,220985.55,248139.55,1.4327144919656514,-0.24524959967120452,-0.17924382477422543,-0.06600577489697909,-0.08289291924867823,-0.09544454060842253,否,否,是,否,否,是,否,-15.0,0.0,0.0,-15.0,301.317,0.0,0.0,301.317,560.8009999999999,0.0,12.0,572.8009999999999,2026-09-11
接近,30,8410,森田,上櫃,29.75,30.795000076293945,False,34.472798112870116,25.272332764798897,38.01542431866577,41468.0,29019.5,31184.85,1.4289701752270025,-0.5984674733413229,-0.45834057316948756,-0.14012690017183532,-0.18987484836501067,-0.18102599762321925,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,30,6449,鈺邦,上市,217.0,225.4,False,28.19025507008284,40.73509018287133,44.754646544135824,1905271.0,1347232.5,1313385.1,1.4142109843698099,-6.189040365017632,-7.720426323935225,1.5313859589175927,2.3295471860828822,2.5587353475138617,否,否,是,否,否,否,否,-57.545,-500.0,-11.809,-569.3539999999999,479.34699999999987,-2500.0,-53.034,-2073.687,-1234.8640000000003,-2500.0,-40.946999999999996,-3775.811,2026-09-11
接近,30,4526,東台,上市,30.299999237060547,30.739999866485597,False,37.439084089793525,51.156041049100025,42.998780308654986,3421821.0,2439837.4,2036053.275,1.4024791160263386,0.0036392172952837143,-0.15684769208507804,0.16048690938036175,0.2892070647877286,0.36125096548384716,否,否,是,否,否,否,否,24.292,0.0,-3.267,21.025000000000002,-844.706,0.0,21.16,-823.5459999999998,-7631.388,0.0,-9.325,-7640.712999999999,2026-09-11
接近,30,1623,大東電,上市,205.5,205.3,True,57.74789996096875,67.75777636227716,47.23591068060967,132957.6,95128.5,105137.25,1.3976631608823855,0.0680138562916568,-1.287486176487017,1.3555000327786737,2.0009362807736304,1.5633692410962619,否,否,是,否,否,是,否,-54.0,0.0,-0.636,-54.636,86.92,0.0,-8.965,77.95500000000001,-193.45999999999998,0.0,-7.896999999999999,-201.357,2026-09-11
接近,30,8028,昇陽半導體,上市,225.5,243.625,False,17.042316371607313,26.952444744877308,37.48384458363665,3486764.2,2554554.9,3107392.0,1.364920440739011,-9.961526629419353,-9.643730667926707,-0.3177959614926458,0.1885314547152248,0.7124298442169437,否,否,是,否,否,否,是,-464.36,35.0,-13.017,-442.377,-4851.830999999999,880.0,-117.71800000000002,-4089.549,-6889.9439999999995,-1928.0,-281.87999999999994,-9099.823999999999,2026-09-11
